instance name, solver name, cutoff, objective value
core2586-950.mps, HiGHS, 10, N/A
core2586-950.mps, SCIP, 10, 1212.0
core2586-950.mps, CPLEX, 10, 982.0
core2586-950.mps, Gurobi(comp), 10, 1058.0
core2586-950.mps, Gurobi(heur), 10, 1058.0
core2586-950.mps, Feasibility Jump, 10, 1335.0
core2586-950.mps, Local-MIP, 10, 1033.0
neos-4264598-oueme.mps, HiGHS, 10, N/A
neos-4264598-oueme.mps, SCIP, 10, N/A
neos-4264598-oueme.mps, CPLEX, 10, N/A
neos-4264598-oueme.mps, Gurobi(comp), 10, N/A
neos-4264598-oueme.mps, Gurobi(heur), 10, N/A
neos-4264598-oueme.mps, Feasibility Jump, 10, N/A
neos-4264598-oueme.mps, Local-MIP, 10, N/A
z26.mps, HiGHS, 10, N/A
z26.mps, SCIP, 10, 0.0
z26.mps, CPLEX, 10, -194.0
z26.mps, Gurobi(comp), 10, -1005.0
z26.mps, Gurobi(heur), 10, -1005.0
z26.mps, Feasibility Jump, 10, -1.0
z26.mps, Local-MIP, 10, -1086.0
uccase10.mps, HiGHS, 10, N/A
uccase10.mps, SCIP, 10, N/A
uccase10.mps, CPLEX, 10, 64478.42288
uccase10.mps, Gurobi(comp), 10, 102614.49574
uccase10.mps, Gurobi(heur), 10, 102862.05123
uccase10.mps, Feasibility Jump, 10, N/A
uccase10.mps, Local-MIP, 10, N/A
pb-grow22.mps, HiGHS, 10, N/A
pb-grow22.mps, SCIP, 10, 0.0
pb-grow22.mps, CPLEX, 10, 0.0
pb-grow22.mps, Gurobi(comp), 10, 0.0
pb-grow22.mps, Gurobi(heur), 10, 0.0
pb-grow22.mps, Feasibility Jump, 10, 0.0
pb-grow22.mps, Local-MIP, 10, 0.0
bts4-cta.mps, HiGHS, 10, N/A
bts4-cta.mps, SCIP, 10, N/A
bts4-cta.mps, CPLEX, 10, 982568.29144
bts4-cta.mps, Gurobi(comp), 10, N/A
bts4-cta.mps, Gurobi(heur), 10, N/A
bts4-cta.mps, Feasibility Jump, 10, N/A
bts4-cta.mps, Local-MIP, 10, N/A
neos-3695882-vesdre.mps, HiGHS, 10, N/A
neos-3695882-vesdre.mps, SCIP, 10, N/A
neos-3695882-vesdre.mps, CPLEX, 10, N/A
neos-3695882-vesdre.mps, Gurobi(comp), 10, N/A
neos-3695882-vesdre.mps, Gurobi(heur), 10, N/A
neos-3695882-vesdre.mps, Feasibility Jump, 10, N/A
neos-3695882-vesdre.mps, Local-MIP, 10, 881.4
swath.mps, HiGHS, 10, 524.961754
swath.mps, SCIP, 10, 557.5163
swath.mps, CPLEX, 10, 539.843454
swath.mps, Gurobi(comp), 10, 502.584233
swath.mps, Gurobi(heur), 10, 765.656835
swath.mps, Feasibility Jump, 10, N/A
swath.mps, Local-MIP, 10, 1110.954562
dws012-01.mps, HiGHS, 10, N/A
dws012-01.mps, SCIP, 10, N/A
dws012-01.mps, CPLEX, 10, N/A
dws012-01.mps, Gurobi(comp), 10, N/A
dws012-01.mps, Gurobi(heur), 10, N/A
dws012-01.mps, Feasibility Jump, 10, N/A
dws012-01.mps, Local-MIP, 10, N/A
neos-3740487-motru.mps, HiGHS, 10, N/A
neos-3740487-motru.mps, SCIP, 10, N/A
neos-3740487-motru.mps, CPLEX, 10, N/A
neos-3740487-motru.mps, Gurobi(comp), 10, N/A
neos-3740487-motru.mps, Gurobi(heur), 10, N/A
neos-3740487-motru.mps, Feasibility Jump, 10, N/A
neos-3740487-motru.mps, Local-MIP, 10, N/A
assign1-10-4.mps, HiGHS, 10, 511.0
assign1-10-4.mps, SCIP, 10, 535.0
assign1-10-4.mps, CPLEX, 10, 425.0
assign1-10-4.mps, Gurobi(comp), 10, 456.0
assign1-10-4.mps, Gurobi(heur), 10, 456.0
assign1-10-4.mps, Feasibility Jump, 10, 1040.0
assign1-10-4.mps, Local-MIP, 10, 423.0
neos-3068746-nene.mps, HiGHS, 10, N/A
neos-3068746-nene.mps, SCIP, 10, 75830710.0
neos-3068746-nene.mps, CPLEX, 10, 62038426.167
neos-3068746-nene.mps, Gurobi(comp), 10, 61916360.0
neos-3068746-nene.mps, Gurobi(heur), 10, 61919660.0
neos-3068746-nene.mps, Feasibility Jump, 10, N/A
neos-3068746-nene.mps, Local-MIP, 10, 91783281.4465
allcolor58.mps, HiGHS, 10, N/A
allcolor58.mps, SCIP, 10, N/A
allcolor58.mps, CPLEX, 10, 26620.0
allcolor58.mps, Gurobi(comp), 10, 26580.0
allcolor58.mps, Gurobi(heur), 10, 26580.0
allcolor58.mps, Feasibility Jump, 10, 0.0
allcolor58.mps, Local-MIP, 10, 20327.773793
polygonpack4-15.mps, HiGHS, 10, 0.0
polygonpack4-15.mps, SCIP, 10, 0.0
polygonpack4-15.mps, CPLEX, 10, 0.0
polygonpack4-15.mps, Gurobi(comp), 10, -33037900.0
polygonpack4-15.mps, Gurobi(heur), 10, -29515300.0
polygonpack4-15.mps, Feasibility Jump, 10, 0.0
polygonpack4-15.mps, Local-MIP, 10, -34305423.23429
dws008-03.mps, HiGHS, 10, N/A
